signature,timestamp,from,to,amount_sol,depth,path
3szQ6aK1gSxikjC149ahPaydhiBAtVShbDhvChCPKJdncUqcQ6D4zDAan5t2tvgc7HBRjsh7W7FT7h22kvbV4A3V,2026-02-09T06:49:12.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,AwLtE2CU2x74SbKgHacnQ7TdmQhqTnbB4TEZh1CDSscg,0.022210000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4xhaTgcAFCY244Coy227ypj7Q9hWuRyPRQEzEpnAN2XPG2A1KHe568ryZMe3MgTYs7wXnLYHq77cCmsmc3n51Nb4,2026-02-09T06:48:51.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,HfAGg8W5CDFwZyR7WuPxjkY4Cm5CuyVHFhsALmQEMEwv,0.022680000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2nPVRbyXDHGKKSwHtiMSK31WJjk99wDfCtJj3spTKmmAB7U1E2RvC4EPEqQqVha4VyX6AzGXYRmMgBgKCaf1d8Dz,2026-02-09T06:47:58.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,9N5YVrbNaBwHT4rUL1fRZNHSZjo1SdqbAQpwV7c64Zdb,0.015600000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
ihbVRtGs56S93HymZ3JHKnNxkRwQvWWBYDEnabrhZvvxBANzFMb48UYWFg1ozYhfrf47kgVfkGFhJGNcvpWMF5V,2026-02-09T06:47:27.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,J4iss6UWRUH1AVNzNAWfHtuoiBfhzbFVJiFU7QfQnjyD,0.013749000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
45MxY8g3NtatAc8P8VpnnryMg6eVfds3tmd1pSY9ZZURxB8PdVW5e63HJ5UjqKKM4gY34ds5Ahp1XEs9xfFDgiMc,2026-02-09T06:46:50.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,BABzKd6JQ1Pv9fWHngoV1ES6Yedn21xXqYZN19ATybf4,0.149580000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4R2FyJaQtxZ3gGa1vrR7Yd8PkToHqCKMBg6o36KfM9W5Xhq9fQKZTmZPcr3J9oVsynkxSmGyog8azNk3ZUmGaEbZ,2026-02-09T06:46:14.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,AtwRkCGH84tDN3bEjcY1uL5i83jjcwUmAg9kMAXQ1qKk,0.416880000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
5AyqfxWQgweN2bZFr45VPuHwJoGQBdewUDGvV5n2QL5byWRCzA4YfQDYByukQCaqvqzE5tpqzey8AJqTsztvucxV,2026-02-09T06:45:22.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,9cSMyJdYmZTP5CRKVJze3oxjWFySvAjY8AyVREmja6Bg,0.018340000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2wCU8EUFdidJRgVPVWhZnjfMVGSyvqqL3U5fKAsjuLyzjCWgc9g5sp5jnFxz9cA6hU53joNRjdYxKxK8S7siccDQ,2026-02-09T06:44:30.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Hhv3g8SXxUcqos1jZ4rFwH1YudQcCh4FxuvhBwSPBQXT,0.042500000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2ft4SDNeqrT8TZwALWKPSrjwiT5TSeiBQ15AnR4oxNBS52AEr9NGCupcWdNow2JDsiNDoQtyBzcLruBHCFwgZfGK,2026-02-09T06:41:47.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7XLkF3gT4dEyYsRdhrpM71mkvMTmpYonWAyVrcBWggPv,0.404380000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2GDNcFTAzgLy9W7YEoc9CLV3ChwFAtKAFWEqvLpjhY98U7Kc5PCd88mgbfcjWbYSQhcFc6k8x6g6Vypr6NxECRTT,2026-02-09T06:41:06.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,FxwkMyhEMbxc6YPpvpugPHk2fvcERWCC9mE5sF9XAYTs,0.100180000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
5bJrmiX2BRC7joG45W7BaK544gy7im8SwatX6st683iEDVGXyN1uToc6ceaSnWiEHmzCrredNRhL12yBv3ygPcUU,2026-02-09T06:40:32.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Ar4tPXNoqUCBCXyd4s9y9fka3qLWLnRs1JWwdg155SF7,0.672580000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
M67Z16zkPb9G1hpaL4JNTBwcb6S45rqfY3gD3euteKfe2NeMXHvLSvgy4pyPRqzWxVzc9b6BAmcd8Q2spngekyy,2026-02-09T06:40:00.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,DkGDXzuYGTPehmcpMxeZqqgr727bpQnYSPuxVoHWYM2G,0.512380000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3QkXLvSdwozDUvdPyC3ZhhY1casN8snmTfs5W2z5DuBpKfJEzxv6XysEgCooxv3icKBduHCXkfHK4g4iNa3eYoVF,2026-02-09T06:38:53.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7Q3f9FSNLfCvBdVZEvcLmF2r3BuMRenkXeqfcParAZ7G,0.221380000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2ZkXMzfrb7RXYPJPuKfGcy5pBjWe5DPvoQ9xjvu9AMty8u3ez8TqapUTL41NFF2rWTnQghGHwmggcG79CxKALKim,2026-02-09T06:38:15.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,EPTET2znur8mGJtFGRccoohjN2Dd9EgEftXwiF7Lk4mn,0.659780000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2VCRa7LcG1UuZLwNtNVyBjhUtfYbZk1Lw9cnrmz1AJt8WKUf2QGzLqHvCnvtNZTrmeXGpfbXYgPGacwPLxccP9Pq,2026-02-09T06:37:48.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,PahPb7FbndN1DKYvg9PseRH2BdJ5PTNkyPffhvMQWVv,0.600280000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
gxhoPJc9V1yCDk3BG533hakq4iKyNPz4wq64gv13vdNGLKPNJfuWYhFpmVwEFESRyrCJpq5kPDhvfNKLjN836VP,2026-02-09T06:37:06.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4ABotJpdTRk8ZhxJ5Cy4XaHuUU29hjvzJiRXgkV5GsGvX3oTKXqn6KjtNYvLdmCLKcK2yo7SyAG9Fp9H7zcTegJb,2026-02-09T06:36:23.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,Ak2FHaJiKmNwtn6z9uGSSm4abvVi8rbT7zeNMmSFBsGa,0.078160000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4TaQGs22U6fW6QYbyyvbvz7qBfV4fj3WbguQujzWVQioMgWuQNfinjFCYzW9P3DZFHeVhBNYMMweM9Wa6GXzWqe,2026-02-09T06:35:06.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,H7sgX4wEPxDHa7R13DqCmxNMHN9VevPj8N59UmvfE8Sr,0.192580000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3XcNyCaSYbT4XrmvnjMLDcm2JEpfE1N84yfXUVAeqCdwqyLticH98dBiZB3LQkaDuMUNjTfWfyBY2rdef72KrVhX,2026-02-09T06:33:27.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,8WocYkTeZBZtzHgTNJGoGFGpffwfDGeWMcXZoeVXSvX6,0.016730000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
23pxFoMmkCbTwCWCmbjNYvH5dv6ngEJogG44FZ1mdq6BRbkLCsczkvWNDGL3tM6K8yqPqsKNkTqzuvTDMR1cKaZi,2026-02-09T06:32:49.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,5335KqdAZrkom94kXS3X1mDqjv7HudwqA7oPDUHA61ZZ,0.504200000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2WBWHk4sw6wKdmvwSPgoKogEPmm8sgEZBVytV7cYaZ2SyZ3peQS1Yo62VJtc5ikyHZegkMkwZpnduzJJxVa4asLs,2026-02-09T06:32:14.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,GAKQwwX3yFGAz8kSLe32dtT7TvNNprjZcR5p1rCqpkaF,0.501080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4MRsx8RYVDtUm2B7EjUvJN8aFQ8t18ttbxNyi5fGrd2xJk4HzUrbKMxZna9zLVn7fDSGiKnT7zFENJvGU6iEfdJ5,2026-02-09T06:31:43.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7bknJmo6cHXKvaya1dhsdBFVBsLrQYSR1AceoQP2LsSE,0.401280000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
